BFN,BUS_PROF_NAME,FULL_ADDRESS,LICENSES,LIC_STATUS,ISSUE_DATE,END_DATE,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,COUNCIL_DIST,POLICE_DIST,CENSUS_TRACT,NEIGHBORHOOD,ZONE_DISTRICT,X_COORD,Y_COORD
2002-BFN-78013,CHERRY CRICKET BALLPARK,2220 BLAKE ST,LIQUOR - BREW PUB AND CABARET,LICENSE ISSUED - ACTIVE,2021-02-09 10:59:59,2022-03-08 00:00:00,43432.0,2220 Blake St,None,Denver,CO,80205,9,6,01600,Five Points,C-MX-5,3143045.0,1700755.0
2009-BFN-1043483,TAG BURGER BAR,1222 MADISON ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2020-11-04 08:59:14,2021-11-08 00:00:00,61765.0,1222 N Madison St,None,Denver,CO,80206,10,2,03703,Congress Park,U-MS-2,3155845.0,1693278.0
2012-BFN-1061909,DIFRANCO'S,955 LINCOLN STUNIT D ,LIQUOR - BEER & WINE,LICENSE ISSUED - ACTIVE,2020-11-20 08:22:34,2021-11-07 00:00:00,167658.0,955 N Lincoln St,None,Denver,CO,80203,10,6,02702,Capitol Hill,D-GT,3144467.0,1691679.0
2008-BFN-1034738,STORE PEREZ I,490 S FEDERAL BLVD,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2020-11-02 12:08:37,2021-10-25 00:00:00,93121.0,490 S Federal Blvd,None,Denver,CO,80219,7,4,01301,Athmar Park,E-MX-3,3133728.0,1683015.0
2016-BFN-0007848,SSAM,1600 CHAMPA UNIT 200 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-06-28 05:59:38,2022-06-08 00:00:00,270358.0,1600 Champa St,None,Denver,CO,80202,9,6,01702,CBD,D-TD,3142378.0,1697203.0
2013-BFN-1070475,GINZA SUSHI & GRILL,2104 S UNIVERSITY BLVD,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-06-25 13:27:45,2022-03-24 00:00:00,451820.0,2104 S University Blvd,None,Denver,CO,80210,6,3,04006,University Park,R-MU-30,3152226.0,1672331.0
2008-BFN-1036497,ACOVA,3651 N NAVAJO ST,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2021-06-25 14:18:27,2022-05-30 00:00:00,246486.0,3651 N Navajo St,None,Denver,CO,80211,1,1,01102,Highland,U-MX-3,3139350.0,1704909.0
2001-BFN-4012,STADIUM INN,1701 E EVANS AVE,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2021-04-05 00:00:00,2021-12-03 00:00:00,111897.0,1701 E Evans Ave,None,Denver,CO,80210,6,3,03003,University,U-MS-3,3149910.0,1672515.0
2021-BFN-0000797,MILEPOST ZERO,1601 19TH STSTE 150 ,LIQUOR - TAVERN AND CABARET,LICENSE ISSUED - ACTIVE,2021-06-24 10:37:01,2022-03-23 00:00:00,32607891.0,1601 19th St Ste 150,None,Denver,CO,None,9,6,01701,Union Station,PUD-G,3141580.0,1700140.0
2010-BFN-1048542,CLARION HOTEL DENVER CENTRAL,200 W 48TH ,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2020-12-31 08:38:25.000001,2021-11-02 00:00:00,261741.0,200 W 48th Ave,None,Denver,CO,80216,9,1,01500,Globeville,I-A,3143087.0,1710576.0
2014-BFN-1074561,ABYSSINIA ETHIOPIAN RESTAURANT AND BAR,5707 E COLFAX AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2020-09-21 12:14:29,2021-10-02 00:00:00,227584.0,5707 E Colfax Ave,None,Denver,CO,80220,8,2,04202,South Park Hill,U-MS-3,3162894.0,1695113.0
2002-BFN-94502,CHIPOTLE MEXICAN GRILL #161,2760 S COLORADO BLVDUNIT M ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-08-26 10:36:36,2022-07-26 00:00:00,222472.0,2760 S Colorado Blvd,None,Denver,CO,80222,4,3,04003,University Hills,B-3,3157662.0,1668122.0
2013-BFN-1064646,LITTLE INDIA RESTAURANT & BAR,3496 W 32ND AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2020-07-07 14:27:49,2022-01-14 00:00:00,453506.0,3496 W 32nd Ave,None,Denver,CO,80211,1,1,00303,West Highland,U-MS-3,3130870.0,1702790.0
2011-BFN-1051532,7-ELEVEN STORE #34570A,1755 BLAKE ST #100 ,LIQUOR - FERMENTED MALT BEVERAGE,DELINQUENT,2021-07-21 03:00:27,2021-07-20 00:00:00,53888.0,1755 Blake St,None,Denver,CO,80202,9,6,01701,Union Station,D-LD,3141368.0,1699295.0
2002-BFN-62952,SUSHI DEN/IZAKAYA DEN,1487 S PEARL ST,LIQUOR - HOTEL AND RESTAURANT,DELINQUENT,2021-08-03 03:00:18,2021-08-02 00:00:00,104509.0,1487 S Pearl St,None,Denver,CO,80210,7,3,03001,Platt Park,U-MS-2,3146175.0,1676468.0
2021-BFN-0004792,ASSEMBLY MARKET,3900 N ELATI ST,LIQUOR - HOTEL AND RESTAURANT,PENDING,2021-06-23 00:00:00,2021-06-23 12:43:52,178848.0,3900 N Elati St,None,Denver,CO,80216,9,1,01500,Globeville,C-RX-12,3142717.0,1706284.0
2002-BFN-48864,CHEF ZORBAS CUISINE INC.,2626 E 12TH AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-08-25 12:59:49,2022-09-05 00:00:00,176830.0,2626 E 12th Ave,None,Denver,CO,80206,10,2,03702,Congress Park,U-MS-2,3153146.0,1693025.0
2011-BFN-1057439,EL PATRON MEXICAN RESTAURANT III,4630 N PEORIA ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-02-01 12:00:30,2022-01-25 00:00:00,160896.0,4630 N Peoria St,None,Denver,CO,80239,8,5,08312,Montbello,B-8,3183873.0,1709841.0
2021-BFN-0005560,BODEGA DENVER,2651 W 38TH AVE,LIQUOR - HOTEL AND RESTAURANT,PENDING,2021-07-22 00:00:00,2021-07-15 09:30:00,177840.0,2651 W 38th Ave,None,Denver,CO,80211,1,1,00401,Sunnyside,U-MX-2,3134841.0,1705508.0
2001-BFN-69983,THE PARK TAVERN AND RESTAURANT,921 E 11TH AVE,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2020-11-06 10:30:22,2021-11-03 00:00:00,None,None,None,None,None,80218,10,6,02703,Capitol Hill,G-MS-3,3147444.0,1692602.0
2020-BFN-0003551,HQ LIVE DENVER INC,60 S BROADWAY ,LIQUOR - TAVERN AND CABARET,LICENSE ISSUED - ACTIVE,2020-10-21 14:50:42,2021-09-30 00:00:00,80944.0,60 S Broadway,None,Denver,CO,80209,7,3,02802,Speer,G-MS-5,3144278.0,1685866.0
2001-BFN-51304,EL TORO RESTAURANT INC,4957 COLORADO BLVD,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-08-25 13:23:33,2022-08-30 00:00:00,23700.0,4957 N Colorado Blvd,None,Denver,CO,80216,9,2,03500,Elyria Swansea,I-A,3157020.0,1711471.0
2013-BFN-1069949,BABE'S TEA ROOM,2401 15TH STUNIT 170 ,LIQUOR - BEER & WINE,DELINQUENT,2021-07-21 03:00:28.000001,2021-07-20 00:00:00,360948.0,2401 15th St Ste 170,None,Denver,CO,80202,1,1,01102,Highland,C-MX-5,3137978.0,1700924.0
2002-BFN-60902,BREWERY BAR II,150 KALAMATH ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-07-06 15:07:57,2022-03-27 00:00:00,246403.0,150 N Kalamath St,None,Denver,CO,80223,7,3,02100,Baker,I-MX-3,3140665.0,1687216.0
2014-BFN-1071337,NEXT DOOR AMERICAN EATERY,1701 WYNKOOP STSUITE 100 ,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2021-06-30 08:05:26,2022-06-25 00:00:00,469680.0,1701 Wynkoop St Ste 100,None,Denver,CO,80202,9,6,01701,Union Station,T-MU-30,3140386.0,1699456.0
2020-BFN-0005509,CORNER BEET <THECORNERBEET@GMAIL.COM>,1401 N OGDEN ST,LIQUOR - HOTEL AND RESTAURANT,PENDING,2020-10-27 00:00:00,2020-10-23 13:04:25,65121.0,1401 N Ogden St,None,Denver,CO,80218,10,6,02703,Capitol Hill,C-MS-5,3147521.0,1694316.0
2021-BFN-0000562,FEDERALES,2901 LARIMER ST,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2021-08-06 07:59:48,2022-05-17 00:00:00,32634560.0,2901 Larimer St,None,Denver,CO,None,9,2,01600,Five Points,I-MX-3,3145711.0,1702713.0
2002-BFN-83881,RIO GRANDE MEXICAN RESTAURANT,1525 BLAKE ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-06-25 13:02:14.000001,2022-03-30 00:00:00,53969.0,1525 Blake St,None,Denver,CO,80202,9,6,01701,Union Station,D-LD,3140565.0,1698564.0
2021-BFN-0003630,HILLTOP RESERVE,525 S HOLLY ST,LIQUOR - HOTEL AND RESTAURANT,PENDING,2021-06-09 00:00:00,2021-05-28 08:26:28,32633320.0,525 S Holly St,None,Denver,CO,None,5,3,04900,Washington Virginia Vale,S-CC-3X,3162433.0,1682849.0
2013-BFN-1064713,EL C'S MEXICAN BISTRO,4326 TENNYSON ST,LIQUOR - HOTEL AND RESTAURANT AND CABARET,DELINQUENT,2021-07-24 03:00:28.000001,2021-07-23 00:00:00,28858.0,4326 N Tennyson St,None,Denver,CO,80212,1,1,00301,Berkeley,U-MX-3,3128263.0,1707798.0
2001-BFN-81688,HARD ROCK CAFE,500 16TH ST 120 ,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2020-10-26 10:37:10,2021-11-04 00:00:00,264542.0,500 16th St Unit 120,None,Denver,CO,80202,9,6,01702,CBD,D-C,3143279.0,1696110.0
2014-BFN-1074699,ASBURY PROVISIONS LLC,2043 S UNIVERSITY ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-02-12 12:52:28,2021-12-29 00:00:00,241536.0,2043 S University Blvd,None,Denver,CO,80210,6,3,03003,University,C-MS-8,3152056.0,1672784.0
2020-BFN-0000154,ILLEGAL PETE'S,2230 N ONEIDA ST,LIQUOR - HOTEL AND RESTAURANT,DELINQUENT,2021-06-29 03:00:24,2021-06-28 00:00:00,19946.0,2230 N Oneida St,None,Denver,CO,80207,8,2,04202,South Park Hill,E-MX-2,3166523.0,1698733.0
2011-BFN-1053028,MEAD STREET PROVISIONS,3625 W 32ND AVE,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2021-06-28 04:49:10,2022-07-07 00:00:00,48956.0,3625 W 32nd Ave,None,Denver,CO,80211,1,1,00303,West Highland,U-MS-3,3130650.0,1702906.0
2007-BFN-1025706,DOC'S DISCOUNT LIQUORS,1025 S FEDERAL BLVD,LIQUOR - STORE,DELINQUENT,2021-07-30 03:00:38,2021-07-29 00:00:00,94269.0,1025 S Federal Blvd,None,Denver,CO,80219-4101,3,4,04502,Westwood,E-MX-3,3133544.0,1679429.0
2021-BFN-0000048,CHE POCHO INC,8555 W BELLEVIEW AVESTE A03 ,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,2021-01-07 00:00:00,2022-01-07 00:00:00,270011.0,8555 W Belleview Ave Ste A03,None,Denver,CO,80123,2,4,12014,Marston,B-2,3114424.0,1652660.0
2021-BFN-0003432,RIVER LTD,3759 CHESTNUT PL,LIQUOR - TAVERN AND CABARET,PENDING,2021-05-26 00:00:00,2021-05-21 11:34:01,245937.0,3759 Chestnut Pl,None,Denver,CO,80216,9,2,01600,Five Points,I-MX-5,3146855.0,1707326.0
2007-BFN-1024838,DENVER COLISEUM,4600 HUMBOLDT ST,LIQUOR - HOTEL AND RESTAURANT,DELINQUENT,2021-07-24 03:00:28.000001,2021-07-23 00:00:00,246298.0,4600 N Humboldt St,None,Denver,CO,80216,9,2,03500,Elyria Swansea,CMP-NWC,3149012.0,1709111.0
2019-BFN-0008910,CHEBA HUT,4245 W COLFAX AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2020-12-23 11:06:16,2021-11-11 00:00:00,479673.0,4245 W Colfax Ave,None,Denver,CO,80204,1,1,00701,West Colfax,C-MS-8,3128756.0,1694930.0
2018-BFN-0007027,AMBLI NEXT DOOR,600 S HOLLY STUNIT 113 ,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2021-05-18 09:42:05,2022-02-19 00:00:00,226096.0,600 S Holly St Unit 113,None,Denver,CO,80246,5,3,05001,Washington Virginia Vale,B-2,3162765.0,1682528.0
2006-BFN-1021169,BRIGHTMARTEN,730 S UNIVERSITY BLVD,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-01-20 11:04:32.000001,2022-01-23 00:00:00,180290.0,730 S University Blvd,None,Denver,CO,80209,6,3,03901,Belcaro,E-MS-3,3152189.0,1681320.0
2004-BFN-1011870,CASEY'S BISTRO & PUB,7301 E 29TH AVE,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2021-05-17 10:38:44,2021-12-15 00:00:00,175029.0,7301 E 29th Ave,None,Denver,CO,80238,8,5,04105,Central Park,C-MU-20,3167909.0,1701665.0
2004-BFN-1009795,RACINES RESTAURANT,650 SHERMAN ST,LIQUOR - HOTEL AND RESTAURANT AND CABARET,DELINQUENT,2021-06-05 03:00:23,2021-06-04 00:00:00,175587.0,650 N Sherman St,None,Denver,CO,80203,10,3,02801,Speer,C-MX-12,3144996.0,1689974.0
2009-BFN-1040500,JOAQUIN FAMILY MEXICAN RESTAURANT,5910 E COLFAX AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-01-20 11:27:52,2022-08-22 00:00:00,185834.0,5910 E Colfax Ave,None,Denver,CO,80220,5,2,04304,Montclair,U-MS-3,3163366.0,1694928.0
2004-BFN-1012881,COYOTE UGLY SALOON,500 16TH ST #350 ,LIQUOR - TAVERN AND CABARET,LICENSE ISSUED - ACTIVE,2021-06-08 12:18:34,2022-03-05 00:00:00,263786.0,500 16th St Unit 350,None,Denver,CO,80202,9,6,01702,CBD,D-C,3143046.0,1696397.0
2014-BFN-1074577,RED LOBSTER #6335,8268 E NORTHFIELD BLVD,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2020-12-18 14:11:47,2021-12-18 00:00:00,256061.0,8268 E Northfield Blvd,None,Denver,CO,80238,8,5,04105,Central Park,C-MU-20,3170609.0,1710130.0
2015-BFN-0006247,SYRUP ON THE PARK,1875 N YORK ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-02-24 15:10:52.000001,2021-12-13 00:00:00,57904.0,1875 N York St,None,Denver,CO,80206,9,6,03102,City Park West,PUD,3151810.0,1697142.0
2018-BFN-0003066,TAJ MUTT HAL,3478 W 32ND AVE,LIQUOR - ART GALLERY PERMIT,DELINQUENT,2021-07-21 03:00:28.000001,2021-07-20 00:00:00,47030.0,3478 W 32nd Ave,None,Denver,CO,80211,1,1,00303,West Highland,U-MS-3,3130977.0,1702734.0
2009-BFN-1044676,TAMALES BY LA CASITA,9100 PENA BLVD CONCOURSEC ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-07-29 13:39:22,2022-07-01 00:00:00,221161.0,9100 Pena Blvd,None,Denver,CO,80249,11,7,08313,DIA,DIA,3231969.0,1740241.0
2007-BFN-1030399,BROTHERS BBQ VIII,4645 W COLFAX AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-02-01 14:44:02,2022-02-10 00:00:00,None,None,None,None,None,80204,1,1,00701,West Colfax,U-MS-5,3127344.0,1695004.0
2020-BFN-0005955,LEKKER COFFEE & WATERING HOLE,3460 LARIMER ST,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2021-05-11 13:40:49,2022-05-09 00:00:00,32661610.0,3460 Larimer St,None,Denver,CO,80205,9,2,01600,Five Points,I-MX-3,3147627.0,1704504.0
2012-BFN-1063387,KYU RAMEN,600 E COLFAX AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-03-22 03:20:12,2022-02-10 00:00:00,66741.0,600 E Colfax Ave,None,Denver,CO,80203,10,6,02703,Capitol Hill,C-MS-8,3146300.0,1694801.0
2018-BFN-0006989,ENIGMA BAZAAR,4923 W 38TH AVE,LIQUOR - TAVERN AND CABARET,LICENSE ISSUED - ACTIVE,2021-07-16 09:10:19,2021-12-09 00:00:00,246487.0,4923 W 38th Ave,None,Denver,CO,80212,1,1,00301,Berkeley,U-MX-3,3126378.0,1705479.0
2013-BFN-1069480,MACHETE,1730 WYNKOOP ST,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2021-01-20 10:24:15,2022-02-05 00:00:00,171352.0,1730 Wynkoop St,None,Denver,CO,80202,9,6,01701,Union Station,D-LD,3140835.0,1699485.0
2016-BFN-0001132,MENYA NOODLE BAR,951 16TH STUNIT 104 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2020-11-05 12:32:53,2021-12-01 00:00:00,158027.0,951 16th St,None,Denver,CO,80202,9,6,01702,CBD,D-TD,3142313.0,1697351.0
2011-BFN-1055849,LA MERISE RESTAURANT,2700 E 3RD AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2020-09-21 11:09:18,2021-10-17 00:00:00,223758.0,2700 E 3rd Ave,None,Denver,CO,80206,10,3,03800,Cherry Creek,C-CCN-5,3153127.0,1687880.0
2002-BFN-84291,CITY WINE,347 S COLORADO BLVD,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2021-02-17 14:15:03,2021-12-13 00:00:00,173946.0,347 S Colorado Blvd,None,Denver,CO,80222,10,3,03901,Belcaro,E-MX-3,3157252.0,1684238.0
2019-BFN-0003115,URBAN PUTT,1201 18TH STSTE 110 ,LIQUOR - HOTEL AND RESTAURANT,DELINQUENT,2021-07-17 03:00:29,2021-07-16 00:00:00,32608281.0,1201 18th St Ste 110,None,Denver,CO,None,9,6,01701,Union Station,D-C,3142210.0,1698748.0
2001-BFN-53751,WHITE HORSE BAR INC,5130 W ALAMEDA AVE,LIQUOR - TAVERN AND CABARET,LICENSE ISSUED - ACTIVE,2020-09-22 07:48:23,2021-10-13 00:00:00,96457.0,5130 W Alameda Ave,None,Denver,CO,80219,3,4,04501,Westwood,E-MX-3,3125918.0,1684140.0
2012-BFN-1061329,SAIGON BOWL,333 S FEDERAL BLVDUNIT 134 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-01-29 09:30:47,2022-02-01 00:00:00,361704.0,333 S Federal Blvd Unit 134,None,Denver,CO,80219,3,4,04502,Westwood,PUD,3133432.29,1683874.11
2012-BFN-1058080,BERKELEY INN,3834 TENNYSON ST,LIQUOR - TAVERN AND CABARET,LICENSE ISSUED - ACTIVE,2021-05-26 09:50:33,2022-04-12 00:00:00,246407.0,3834 N Tennyson St,None,Denver,CO,80212,1,1,00301,Berkeley,U-MS-5,3128213.0,1705695.0
2006-BFN-1019717,TAMALES BY LA CASITA,3561 N TEJON ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-06-30 08:24:51,2022-05-21 00:00:00,222797.0,3561 N Tejon St,None,Denver,CO,80211,1,1,00402,Highland,U-MX-3,3137321.0,1704511.0
2014-BFN-1074049,GOOSETOWN TAVERN,3242 E COLFAX AVE,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2020-10-26 12:51:01,2021-11-02 00:00:00,177361.0,3242 E Colfax Ave,None,Denver,CO,80206,10,2,03703,Congress Park,U-MS-3,3155077.0,1694886.0
2002-BFN-43117,SPANKY'S URBAN ROADHOUSE,1800 E EVANS AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-01-28 18:38:25,2022-02-05 00:00:00,111951.0,1800 E Evans Ave,None,Denver,CO,80210,6,3,03004,University,U-MS-3,3150280.0,1672378.0
2005-BFN-1017115,JJ'S BISTRO INC,1255 19TH ST,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2021-02-12 14:28:17,2022-02-05 00:00:00,55103.0,1255 19th St,None,Denver,CO,80202,9,6,01701,Union Station,D-C,3142577.0,1699294.0
2001-BFN-85247,BROOKLYN'S AT THE PEPSI CENTER,901 AURARIA PKWY,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2021-02-02 14:28:39,2021-10-21 00:00:00,54171.0,901 Auraria Pkwy,None,Denver,CO,80204,9,1,01900,Auraria,C-MX-8,3138468.0,1697354.0
2008-BFN-1034488,SUN LIQUORS,1630 E BRUCE RANDOLPH AVE,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2020-09-22 08:37:37,2021-10-21 00:00:00,246307.0,1630 E Bruce Randolph Ave,None,Denver,CO,80205,9,2,03601,Cole,U-MS-3,3149639.0,1703737.0
2016-BFN-0006950,QDOBA MEXICAN EATS,4000 N COLORADO BLVDUNIT 101 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-06-30 12:28:00,2022-02-23 00:00:00,233330.0,4000 N Colorado Blvd Unit 101,None,Denver,CO,80216,8,2,04101,Northeast Park Hill,B-3,3157426.0,1706964.0
2003-BFN-1004471,MORGAN'S LIQUOR,1200 E EVANS AVE,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2021-07-29 12:47:27,2022-06-30 00:00:00,261597.0,1200 E Evans Ave,None,Denver,CO,80210,6,3,03004,University,U-MS-3,3148287.0,1672376.0
2014-BFN-1074666,MARISCOS LAS ISLITAS,1550 S FEDERAL BLVDUNIT A & B ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2020-09-24 10:49:08,2021-09-03 00:00:00,270106.0,1550 S Federal Blvd Unit A,None,Denver,CO,80219,7,4,01402,Ruby Hill,E-MX-3,3133874.0,1676137.0
2021-BFN-0000553,BERKELEY CHAPEL,4345 W 46TH AVE,LIQUOR - HOTEL AND RESTAURANT,PENDING,2021-02-16 00:00:00,2021-01-26 12:08:46,27092.0,4345 W 46th Ave,None,Denver,CO,80212,1,1,00102,Berkeley,U-MX-3,3128356.0,1709575.0
2003-BFN-1007044,CHIPOTLE MEXICAN GRILL,140 N STEELE ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-01-15 11:34:22,2021-12-09 00:00:00,84358.0,140 N Steele St,None,Denver,CO,80206,10,3,03800,Cherry Creek,C-CCN-5,3154824.0,1687073.0
2013-BFN-1067424,NOVO COFFEE,1600 GLENARM PLUNIT 110 ,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2020-09-29 14:33:13.000001,2021-10-01 00:00:00,180004.0,1600 Glenarm Pl,None,Denver,CO,80202,9,6,01702,CBD,D-C,3143476.0,1696290.0
2015-BFN-0008386,WEWATTA CAFE,1601 WEWATTA STUNIT 200 ,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2021-03-19 17:33:36,2022-03-03 00:00:00,512783.0,1601 Wewatta St Ste 200,None,Denver,CO,80202,9,6,01701,Union Station,PUD,3139859.0,1699863.0
2018-BFN-0007548,CAPITOL MARKET,1300 N GRANT ST,LIQUOR - 3.2% BEER,LICENSE ISSUED - ACTIVE,2020-12-29 13:57:42,2021-12-18 00:00:00,32585943.0,1300 N Grant St,None,Denver,CO,None,10,6,02701,Capitol Hill,C-MX-8,3145292.0,1693766.0
